product_id,product_name,category,price_per_kg,units_shipped_kg,units_sold_kg,units_on_hand_kg,supplier,farm_location,sale_date
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.66,12310,8774,3536,Coromandel International,"Nashik, Maharashtra",2022-12-16
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,1.04,44956,4017,40939,Nuziveedu Seeds,"Lucknow, Uttar Pradesh",2022-12-09
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.85,40672,12917,27755,Godrej Agrovet,"Coimbatore, Tamil Nadu",2022-04-11
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.6,30997,23809,7188,Parag Foods,"Pune, Maharashtra",2022-09-18
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.74,23215,12923,10292,Coromandel International,"Coimbatore, Tamil Nadu",2023-12-18
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.94,9333,6172,3161,ITC Agri Business,"Lucknow, Uttar Pradesh",2022-09-11
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.9,38677,3334,35343,ITC Agri Business,"Kolkata, West Bengal",2022-02-08
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,2.85,42056,34931,7125,IFFCO,"Kolkata, West Bengal",2023-08-28
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.6,11595,4603,6992,ITC Agri Business,"Anand, Gujarat",2023-12-10
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.24,14653,12098,2555,Coromandel International,"Kolkata, West Bengal",2022-07-25
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.87,39937,11603,28334,Coromandel International,"Chennai, Tamil Nadu",2023-02-16
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.07,7251,2407,4844,Nuziveedu Seeds,"Anand, Gujarat",2022-06-07
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.71,39472,39469,3,Amul (GCMMF),"Lucknow, Uttar Pradesh",2022-04-12
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.91,26982,54,26928,DeHaat,"Anand, Gujarat",2023-02-26
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.36,25760,21951,3809,ITC Agri Business,"Jaipur, Rajasthan",2022-06-10
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.44,3948,1405,2543,IFFCO,"Coimbatore, Tamil Nadu",2022-11-17
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.48,24624,5799,18825,ITC Agri Business,"Nashik, Maharashtra",2023-08-26
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,7.16,24022,20708,3314,Nuziveedu Seeds,"Bengaluru, Karnataka",2023-05-07
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.32,10816,6082,4734,Coromandel International,"Bengaluru, Karnataka",2022-03-31
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.02,34084,5218,28866,Parag Foods,"Nashik, Maharashtra",2023-07-03
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.71,45899,45596,303,ITC Agri Business,"Kolkata, West Bengal",2022-11-10
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.22,36322,3469,32853,Amul (GCMMF),"Kolkata, West Bengal",2022-01-09
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,4.05,46850,35111,11739,Parag Foods,"Hyderabad, Telangana",2023-05-21
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.91,39479,605,38874,Nuziveedu Seeds,"Anand, Gujarat",2023-03-29
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,1.92,11098,1801,9297,ITC Agri Business,"Kolkata, West Bengal",2023-11-15
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.06,42261,26889,15372,Parag Foods,"Hyderabad, Telangana",2022-10-16
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,5.14,8114,4459,3655,ITC Agri Business,"Nashik, Maharashtra",2023-01-24
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.94,41005,8662,32343,IFFCO,"Hyderabad, Telangana",2023-07-27
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.85,16766,16763,3,Nuziveedu Seeds,"Anand, Gujarat",2022-08-28
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.92,33148,32268,880,DeHaat,"Anand, Gujarat",2022-02-21
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,5.95,9828,5773,4055,Coromandel International,"Anand, Gujarat",2023-09-06
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.49,26061,8705,17356,Godrej Agrovet,"Hyderabad, Telangana",2023-11-10
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.82,30380,22161,8219,Coromandel International,"Pune, Maharashtra",2023-10-02
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.17,33908,2231,31677,Coromandel International,"Chennai, Tamil Nadu",2023-07-30
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.39,14249,12705,1544,Parag Foods,"Hyderabad, Telangana",2022-05-31
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.51,6512,4313,2199,Nuziveedu Seeds,"Pune, Maharashtra",2023-02-07
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,3.35,31417,20359,11058,ITC Agri Business,"Anand, Gujarat",2022-06-03
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,4.53,34164,18268,15896,Godrej Agrovet,"Pune, Maharashtra",2023-01-19
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.82,41177,33101,8076,Parag Foods,"Bengaluru, Karnataka",2023-06-09
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.76,39705,31879,7826,Godrej Agrovet,"Bengaluru, Karnataka",2023-05-16
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.6,47168,45695,1473,DeHaat,"Jaipur, Rajasthan",2022-01-07
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.88,7738,5684,2054,IFFCO,"Anand, Gujarat",2023-12-30
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.77,39424,34755,4669,Nuziveedu Seeds,"Jaipur, Rajasthan",2023-08-26
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,0.87,21933,3757,18176,Parag Foods,"Bengaluru, Karnataka",2023-02-15
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.48,5636,4558,1078,Coromandel International,"Chennai, Tamil Nadu",2023-03-11
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,0.8,40819,11598,29221,Amul (GCMMF),"Coimbatore, Tamil Nadu",2023-08-04
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,6.82,2723,484,2239,Parag Foods,"Bengaluru, Karnataka",2023-03-09
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.91,43085,3120,39965,Amul (GCMMF),"Pune, Maharashtra",2022-05-16
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.7,6476,4343,2133,Coromandel International,"Anand, Gujarat",2022-12-02
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.65,36991,19132,17859,IFFCO,"Bengaluru, Karnataka",2022-02-06
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.06,3729,2965,764,Nuziveedu Seeds,"Kolkata, West Bengal",2022-08-15
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,2.05,4814,4258,556,ITC Agri Business,"Chennai, Tamil Nadu",2023-03-29
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.86,47662,11088,36574,Parag Foods,"Chennai, Tamil Nadu",2022-03-02
dd7f2ac0-a03a-487d-bf43-96d8415c3a60,Rye,Grains,0.76,6214,877,5337,Coromandel International,"Coimbatore, Tamil Nadu",2023-06-09
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,2.26,5633,1310,4323,Parag Foods,"Kolkata, West Bengal",2023-12-16
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,4.04,43752,14184,29568,DeHaat,"Bengaluru, Karnataka",2022-07-02
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.71,31626,27614,4012,IFFCO,"Bengaluru, Karnataka",2023-07-05
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,2.47,29331,21318,8013,DeHaat,"Pune, Maharashtra",2023-10-02
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.09,16637,12592,4045,Godrej Agrovet,"Jaipur, Rajasthan",2022-09-05
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,1.64,4220,3825,395,Nuziveedu Seeds,"Anand, Gujarat",2023-08-11
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.36,17612,3505,14107,Godrej Agrovet,"Jaipur, Rajasthan",2022-07-16
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.7,30675,1763,28912,Parag Foods,"Nashik, Maharashtra",2023-03-02
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.18,45139,29867,15272,Nuziveedu Seeds,"Hyderabad, Telangana",2022-01-21
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,0.9,7229,4005,3224,IFFCO,"Chennai, Tamil Nadu",2022-03-09
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.36,1508,506,1002,IFFCO,"Pune, Maharashtra",2023-03-11
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,1.14,32128,25017,7111,Coromandel International,"Jaipur, Rajasthan",2023-07-31
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.12,35940,19206,16734,Parag Foods,"Anand, Gujarat",2022-03-28
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,4.79,29767,11230,18537,Godrej Agrovet,"Pune, Maharashtra",2022-11-19
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.99,37525,5385,32140,DeHaat,"Lucknow, Uttar Pradesh",2022-08-22
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.41,4073,416,3657,ITC Agri Business,"Chennai, Tamil Nadu",2022-12-20
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.25,22666,13070,9596,Amul (GCMMF),"Nashik, Maharashtra",2023-10-12
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.07,32704,21727,10977,ITC Agri Business,"Hyderabad, Telangana",2022-03-25
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.28,35828,2217,33611,Godrej Agrovet,"Anand, Gujarat",2023-11-18
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,0.96,45884,45078,806,Godrej Agrovet,"Jaipur, Rajasthan",2023-02-21
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.78,20741,11439,9302,IFFCO,"Bengaluru, Karnataka",2023-05-06
c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,Barley,Grains,0.76,46701,40182,6519,ITC Agri Business,"Anand, Gujarat",2022-11-03
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,6.32,23290,2064,21226,IFFCO,"Kolkata, West Bengal",2022-10-05
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,2.66,44321,30992,13329,IFFCO,"Anand, Gujarat",2022-03-31
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.99,27154,18151,9003,DeHaat,"Anand, Gujarat",2023-10-23
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.7,5502,2741,2761,Nuziveedu Seeds,"Hyderabad, Telangana",2023-05-10
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.66,38700,20072,18628,Amul (GCMMF),"Bengaluru, Karnataka",2023-09-26
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.49,12087,6469,5618,ITC Agri Business,"Jaipur, Rajasthan",2022-09-29
09728c35-ae6c-4ac6-a7b4-eff32b3574c3,Carrots,Vegetables,1.44,1444,1222,222,Nuziveedu Seeds,"Kolkata, West Bengal",2022-10-15
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,2.42,2845,1641,1204,Coromandel International,"Jaipur, Rajasthan",2022-06-09
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.96,17513,3791,13722,ITC Agri Business,"Pune, Maharashtra",2022-08-16
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.96,16051,8354,7697,Nuziveedu Seeds,"Kolkata, West Bengal",2023-12-25
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.68,3511,359,3152,IFFCO,"Kolkata, West Bengal",2022-09-02
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.64,19970,10591,9379,Godrej Agrovet,"Chennai, Tamil Nadu",2022-07-17
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,5.56,4569,1173,3396,DeHaat,"Bengaluru, Karnataka",2023-05-09
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,6.41,36980,4329,32651,Amul (GCMMF),"Pune, Maharashtra",2022-02-23
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.8,16939,1058,15881,Nuziveedu Seeds,"Coimbatore, Tamil Nadu",2023-01-20
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.58,16765,2933,13832,Godrej Agrovet,"Chennai, Tamil Nadu",2022-05-09
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.65,35582,19689,15893,ITC Agri Business,"Hyderabad, Telangana",2022-09-19
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,0.96,42150,19533,22617,Nuziveedu Seeds,"Kolkata, West Bengal",2023-03-09
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,2.39,15948,2701,13247,Parag Foods,"Lucknow, Uttar Pradesh",2023-07-17
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.47,11782,10090,1692,Godrej Agrovet,"Jaipur, Rajasthan",2022-12-11
c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,Barley,Grains,0.6,2284,1811,473,Coromandel International,"Jaipur, Rajasthan",2022-07-01
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,1.17,41910,22482,19428,Godrej Agrovet,"Chennai, Tamil Nadu",2022-05-03
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.58,38306,16919,21387,Amul (GCMMF),"Chennai, Tamil Nadu",2023-09-19
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.13,31198,6840,24358,Coromandel International,"Anand, Gujarat",2023-04-17
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,3.86,49932,34140,15792,DeHaat,"Lucknow, Uttar Pradesh",2022-09-30
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.69,36689,25761,10928,Amul (GCMMF),"Nashik, Maharashtra",2023-02-05
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,4.48,24183,16959,7224,ITC Agri Business,"Kolkata, West Bengal",2022-10-17
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.48,3027,1302,1725,Coromandel International,"Chennai, Tamil Nadu",2023-03-10
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.72,39205,32793,6412,Nuziveedu Seeds,"Jaipur, Rajasthan",2022-08-24
dd7f2ac0-a03a-487d-bf43-96d8415c3a60,Rye,Grains,1.01,33540,21927,11613,Parag Foods,"Anand, Gujarat",2022-04-06
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,3.4,19783,12945,6838,Amul (GCMMF),"Hyderabad, Telangana",2022-10-28
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.71,26106,293,25813,Parag Foods,"Lucknow, Uttar Pradesh",2022-02-11
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,0.91,26233,10809,15424,ITC Agri Business,"Coimbatore, Tamil Nadu",2023-11-12
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.68,37974,33014,4960,ITC Agri Business,"Coimbatore, Tamil Nadu",2023-12-27
09728c35-ae6c-4ac6-a7b4-eff32b3574c3,Carrots,Vegetables,1.23,40421,11633,28788,DeHaat,"Bengaluru, Karnataka",2023-09-01
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.69,28887,7685,21202,ITC Agri Business,"Chennai, Tamil Nadu",2023-12-09
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.11,46092,40399,5693,Godrej Agrovet,"Kolkata, West Bengal",2022-12-08
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.63,4924,404,4520,Godrej Agrovet,"Anand, Gujarat",2023-07-11
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,6.24,15310,13736,1574,DeHaat,"Coimbatore, Tamil Nadu",2022-07-31
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.86,44241,15706,28535,Godrej Agrovet,"Lucknow, Uttar Pradesh",2023-11-27
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.88,42763,20556,22207,Nuziveedu Seeds,"Coimbatore, Tamil Nadu",2023-10-31
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,3.22,27430,7245,20185,IFFCO,"Anand, Gujarat",2022-12-06
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,4.57,38884,8828,30056,Parag Foods,"Jaipur, Rajasthan",2023-06-17
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.75,2794,685,2109,Parag Foods,"Bengaluru, Karnataka",2023-08-12
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.61,35109,7296,27813,Nuziveedu Seeds,"Nashik, Maharashtra",2022-01-25
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,1.1,45717,4642,41075,IFFCO,"Pune, Maharashtra",2023-10-19
dd7f2ac0-a03a-487d-bf43-96d8415c3a60,Rye,Grains,0.97,2750,244,2506,Coromandel International,"Lucknow, Uttar Pradesh",2022-07-15
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.08,24222,19418,4804,DeHaat,"Kolkata, West Bengal",2022-09-15
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.01,21078,14026,7052,DeHaat,"Chennai, Tamil Nadu",2022-06-13
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.57,25711,9631,16080,ITC Agri Business,"Nashik, Maharashtra",2023-03-25
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.74,2684,1183,1501,Parag Foods,"Bengaluru, Karnataka",2023-06-17
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.43,46418,17725,28693,Parag Foods,"Chennai, Tamil Nadu",2022-07-24
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.55,8640,1076,7564,ITC Agri Business,"Anand, Gujarat",2022-03-27
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.62,27512,6017,21495,Coromandel International,"Coimbatore, Tamil Nadu",2023-10-27
c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,Barley,Grains,0.62,39516,32767,6749,Amul (GCMMF),"Jaipur, Rajasthan",2022-07-01
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,5.37,10197,10187,10,Parag Foods,"Anand, Gujarat",2023-04-26
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,1.92,13787,3168,10619,Parag Foods,"Jaipur, Rajasthan",2023-02-27
c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,Barley,Grains,0.57,11276,3207,8069,Amul (GCMMF),"Nashik, Maharashtra",2022-04-14
c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,Barley,Grains,0.78,11159,1148,10011,ITC Agri Business,"Pune, Maharashtra",2023-07-02
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.42,22126,4079,18047,Amul (GCMMF),"Kolkata, West Bengal",2023-11-22
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.7,14876,1028,13848,Parag Foods,"Nashik, Maharashtra",2022-03-03
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.87,32735,8968,23767,ITC Agri Business,"Kolkata, West Bengal",2022-03-15
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.48,19701,4782,14919,Amul (GCMMF),"Hyderabad, Telangana",2022-08-21
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.36,32276,26927,5349,Coromandel International,"Nashik, Maharashtra",2023-05-29
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,2.87,3092,2093,999,ITC Agri Business,"Jaipur, Rajasthan",2023-11-26
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.39,26664,13715,12949,Parag Foods,"Chennai, Tamil Nadu",2023-04-11
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.76,9340,7221,2119,Nuziveedu Seeds,"Anand, Gujarat",2023-12-27
c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,Barley,Grains,0.8,23789,19363,4426,DeHaat,"Lucknow, Uttar Pradesh",2023-05-02
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.99,43344,3684,39660,Parag Foods,"Bengaluru, Karnataka",2022-12-23
c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,Barley,Grains,0.66,28432,25876,2556,Godrej Agrovet,"Jaipur, Rajasthan",2023-09-26
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.26,41453,1614,39839,DeHaat,"Lucknow, Uttar Pradesh",2022-08-04
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,1.95,7390,1908,5482,Parag Foods,"Jaipur, Rajasthan",2022-07-30
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,2.23,9239,2011,7228,DeHaat,"Kolkata, West Bengal",2023-07-30
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.26,21070,6028,15042,IFFCO,"Kolkata, West Bengal",2023-12-21
